"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation","pa.meth"
"mp_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",414,93.75,74.857,0.686,0.371,NA,"Disk"
"mp_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",416.5,93.75,74.857,0.886,0.75,NA,"Disk"
"mp_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",339,87.5,76,0.635,0.385,NA,"Disk"
"mp_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",339.5,87.5,76,0.882,0.687,NA,"Disk"
"mp_PA1_RUN3_MAXENT","PA1","RUN3","MAXENT","TSS",370,87.5,64,0.515,0.488,NA,"Disk"
"mp_PA1_RUN3_MAXENT","PA1","RUN3","MAXENT","ROC",379.5,87.5,66.286,0.819,0.874,NA,"Disk"
"mp_PA2_RUN1_MAXENT","PA2","RUN1","MAXENT","TSS",452,87.5,80.286,0.678,0.152,NA,"Disk"
"mp_PA2_RUN1_MAXENT","PA2","RUN1","MAXENT","ROC",454.5,87.5,80.571,0.854,0.636,NA,"Disk"
"mp_PA2_RUN2_MAXENT","PA2","RUN2","MAXENT","TSS",517,87.5,74.571,0.626,0.345,NA,"Disk"
"mp_PA2_RUN2_MAXENT","PA2","RUN2","MAXENT","ROC",523.5,87.5,76.286,0.846,0.79,NA,"Disk"
"mp_PA2_RUN3_MAXENT","PA2","RUN3","MAXENT","TSS",515,87.5,77.429,0.649,0.557,NA,"Disk"
"mp_PA2_RUN3_MAXENT","PA2","RUN3","MAXENT","ROC",518.5,87.5,78.571,0.851,0.8,NA,"Disk"
"mp_PA3_RUN1_MAXENT","PA3","RUN1","MAXENT","TSS",533,81.25,82.714,0.64,0.119,NA,"Disk"
"mp_PA3_RUN1_MAXENT","PA3","RUN1","MAXENT","ROC",535.5,81.25,82.857,0.846,0.809,NA,"Disk"
"mp_PA3_RUN2_MAXENT","PA3","RUN2","MAXENT","TSS",528,81.25,83,0.644,0.488,NA,"Disk"
"mp_PA3_RUN2_MAXENT","PA3","RUN2","MAXENT","ROC",530.5,81.25,83.429,0.838,0.814,NA,"Disk"
"mp_PA3_RUN3_MAXENT","PA3","RUN3","MAXENT","TSS",488,93.75,75.857,0.698,0.209,NA,"Disk"
"mp_PA3_RUN3_MAXENT","PA3","RUN3","MAXENT","ROC",492.5,93.75,76.857,0.875,0.722,NA,"Disk"
"mp_PA4_RUN1_MAXENT","PA4","RUN1","MAXENT","TSS",515,93.75,75.929,0.698,0.361,NA,"Disk"
"mp_PA4_RUN1_MAXENT","PA4","RUN1","MAXENT","ROC",522,93.75,76.714,0.853,0.765,NA,"Disk"
"mp_PA4_RUN2_MAXENT","PA4","RUN2","MAXENT","TSS",505,93.75,82,0.76,0.107,NA,"Disk"
"mp_PA4_RUN2_MAXENT","PA4","RUN2","MAXENT","ROC",507.5,93.75,82.429,0.893,0.711,NA,"Disk"
"mp_PA4_RUN3_MAXENT","PA4","RUN3","MAXENT","TSS",508,87.5,86,0.736,0.028,NA,"Disk"
"mp_PA4_RUN3_MAXENT","PA4","RUN3","MAXENT","ROC",513.5,87.5,86.714,0.902,0.695,NA,"Disk"
"mp_PA5_RUN1_MAXENT","PA5","RUN1","MAXENT","TSS",440,93.75,73.971,0.68,0.466,NA,"Disk"
"mp_PA5_RUN1_MAXENT","PA5","RUN1","MAXENT","ROC",442.5,93.75,74.514,0.871,0.736,NA,"Disk"
"mp_PA5_RUN2_MAXENT","PA5","RUN2","MAXENT","TSS",469,93.75,75.086,0.69,0.462,NA,"Disk"
"mp_PA5_RUN2_MAXENT","PA5","RUN2","MAXENT","ROC",477.5,93.75,75.743,0.88,0.748,NA,"Disk"
"mp_PA5_RUN3_MAXENT","PA5","RUN3","MAXENT","TSS",518,81.25,82.943,0.643,0.112,NA,"Disk"
"mp_PA5_RUN3_MAXENT","PA5","RUN3","MAXENT","ROC",518.5,81.25,83.086,0.851,0.779,NA,"Disk"
"mp_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","TSS",247,50,99.429,0.494,0.608,NA,"Random"
"mp_PA1_RUN1_MAXENT","PA1","RUN1","MAXENT","ROC",250,50,99.429,0.747,0.804,NA,"Random"
"mp_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","TSS",797,68.75,100,0.688,0.505,NA,"Random"
"mp_PA1_RUN2_MAXENT","PA1","RUN2","MAXENT","ROC",797,68.75,100,0.873,0.859,NA,"Random"
"mp_PA1_RUN3_MAXENT","PA1","RUN3","MAXENT","TSS",153.5,100,88.571,0.886,0.644,NA,"Random"
"mp_PA1_RUN3_MAXENT","PA1","RUN3","MAXENT","ROC",162,100,89.143,0.973,0.89,NA,"Random"
"mp_PA2_RUN1_MAXENT","PA2","RUN1","MAXENT","TSS",429,93.75,90.571,0.843,0.581,NA,"Random"
"mp_PA2_RUN1_MAXENT","PA2","RUN1","MAXENT","ROC",432,93.75,90.857,0.958,0.884,NA,"Random"
"mp_PA2_RUN2_MAXENT","PA2","RUN2","MAXENT","TSS",358,93.75,88.857,0.826,0.554,NA,"Random"
"mp_PA2_RUN2_MAXENT","PA2","RUN2","MAXENT","ROC",361.5,93.75,89.143,0.953,0.874,NA,"Random"
"mp_PA2_RUN3_MAXENT","PA2","RUN3","MAXENT","TSS",277,100,86.286,0.863,0.65,NA,"Random"
"mp_PA2_RUN3_MAXENT","PA2","RUN3","MAXENT","ROC",284,100,87.143,0.959,0.863,NA,"Random"
"mp_PA3_RUN1_MAXENT","PA3","RUN1","MAXENT","TSS",221,93.75,85.857,0.797,0.717,NA,"Random"
"mp_PA3_RUN1_MAXENT","PA3","RUN1","MAXENT","ROC",226,93.75,86.714,0.955,0.907,NA,"Random"
"mp_PA3_RUN2_MAXENT","PA3","RUN2","MAXENT","TSS",456,87.5,92.143,0.796,0.78,NA,"Random"
"mp_PA3_RUN2_MAXENT","PA3","RUN2","MAXENT","ROC",461,87.5,92.286,0.944,0.945,NA,"Random"
"mp_PA3_RUN3_MAXENT","PA3","RUN3","MAXENT","TSS",502,87.5,92.571,0.801,0.933,NA,"Random"
"mp_PA3_RUN3_MAXENT","PA3","RUN3","MAXENT","ROC",500,87.5,92.571,0.945,0.969,NA,"Random"
"mp_PA4_RUN1_MAXENT","PA4","RUN1","MAXENT","TSS",404,87.5,90.786,0.784,0.764,NA,"Random"
"mp_PA4_RUN1_MAXENT","PA4","RUN1","MAXENT","ROC",404.5,87.5,90.857,0.952,0.913,NA,"Random"
"mp_PA4_RUN2_MAXENT","PA4","RUN2","MAXENT","TSS",331,93.75,89.357,0.832,0.588,NA,"Random"
"mp_PA4_RUN2_MAXENT","PA4","RUN2","MAXENT","ROC",334.5,93.75,89.5,0.955,0.922,NA,"Random"
"mp_PA4_RUN3_MAXENT","PA4","RUN3","MAXENT","TSS",290,100,89.643,0.897,0.455,NA,"Random"
"mp_PA4_RUN3_MAXENT","PA4","RUN3","MAXENT","ROC",295.5,100,89.857,0.967,0.891,NA,"Random"
"mp_PA5_RUN1_MAXENT","PA5","RUN1","MAXENT","TSS",311,93.75,86.486,0.804,0.728,NA,"Random"
"mp_PA5_RUN1_MAXENT","PA5","RUN1","MAXENT","ROC",317,93.75,86.857,0.949,0.932,NA,"Random"
"mp_PA5_RUN2_MAXENT","PA5","RUN2","MAXENT","TSS",331,93.75,86.457,0.803,0.882,NA,"Random"
"mp_PA5_RUN2_MAXENT","PA5","RUN2","MAXENT","ROC",336.5,93.75,86.857,0.949,0.949,NA,"Random"
"mp_PA5_RUN3_MAXENT","PA5","RUN3","MAXENT","TSS",227,100,83.257,0.833,0.827,NA,"Random"
"mp_PA5_RUN3_MAXENT","PA5","RUN3","MAXENT","ROC",227.5,100,83.286,0.957,0.938,NA,"Random"
